City,Region,Country,Latitude,Longitude
Norfolk,MA,us,42.1194444,-71.3255556
Westfield,MA,us,42.1250000,-72.7500000
Taunton,MA,us,41.9000000,-71.0902778
Pleasant Valley,MA,us,42.3555556,-71.7694444
Tinkertown,MA,us,42.0236111,-70.7208333
Clayton,MA,us,42.0430556,-73.2875000
Mill Valley,MA,us,42.3555556,-72.5208333
Grand View Estates,MA,us,42.0900000,-71.8983333
Adams,MA,us,42.6241667,-73.1180556
City Point,MA,us,42.3361111,-71.0291667
Fieldston,MA,us,42.1072222,-70.6644444
Prospectville,MA,us,42.3958333,-71.2638889
Huckleberry Corner,MA,us,41.8333333,-70.7708333
Workmans Circle Camp,MA,us,42.2491667,-71.4375000
Medway,MA,us,42.1416667,-71.3972222
South Brewster,MA,us,41.7472222,-70.0602778
Knightville,MA,us,42.2833333,-72.8666667
Aldrich Mills,MA,us,42.2819444,-72.5383333
Alford,MA,us,42.2355556,-73.4138889
Marlboro,MA,us,42.7166667,-70.9736111
Charlemont,MA,us,42.6277778,-72.8702778
Ware,MA,us,42.2597222,-72.2402778
Allston,MA,us,42.3583333,-71.1263889
Second Cliff,MA,us,42.1916667,-70.7183333
Hendersonville,MA,us,42.4041667,-71.0666667
Camp Ousamequin,MA,us,42.0069444,-70.8505556
South Amherst,MA,us,42.3402778,-72.5055556
East Holliston,MA,us,42.2125000,-71.4208333
Halifax,MA,us,41.9911111,-70.8625000
West Foxboro,MA,us,42.0750000,-71.2708333
North Weymouth,MA,us,42.2458333,-70.9472222
South Bridgewater,MA,us,41.9455556,-70.9475000
Centerville,MA,us,41.6486111,-70.3486111
Dwight,MA,us,42.3277778,-72.4500000
North Natick,MA,us,42.3013889,-71.3583333
Cambridgeport,MA,us,42.3605556,-71.1072222
Clifford,MA,us,41.7263889,-70.9416667
Daley Corner,MA,us,42.0666667,-71.0875000
North Hadley,MA,us,42.3861111,-72.5819444
Herbonville,MA,us,41.9027778,-71.3208333
Madaket,MA,us,41.2727778,-70.1986111
Mileoak Corner,MA,us,42.1077778,-72.4372222
West Brewster,MA,us,41.7444444,-70.1102778
Long Pond Park,MA,us,42.6958333,-71.3638889
Ashley Heights,MA,us,41.7791667,-70.9208333
White Oaks,MA,us,42.7308333,-73.1980556
Holland,MA,us,42.0638889,-72.1577778
Pawtucketville,MA,us,42.6583333,-71.3305556
Assonet,MA,us,41.7958333,-71.0683333
Mattapoisett,MA,us,41.6583333,-70.8166667
Fuller Shores,MA,us,41.8180556,-70.9402778
South Byfield,MA,us,42.7486111,-70.9041667
East Boxford,MA,us,42.6916667,-70.9805556
Saxonville,MA,us,42.3263889,-71.4000000
New Lenox,MA,us,42.3944444,-73.2430556
North Lexington,MA,us,42.4633333,-71.2375000
Shattuckville,MA,us,42.6375000,-72.7269444
Fentonville,MA,us,42.1402778,-72.2736111
Old Mouth North River,MA,us,42.1258333,-70.6797222
Avon,MA,us,42.1305556,-71.0416667
Camp Mah-Kee-Nac,MA,us,42.3402778,-73.3097222
Cuttyhunk,MA,us,41.4208333,-70.9297222
Great Barrington,MA,us,42.1958333,-73.3625000
Point of Pines,MA,us,42.4400000,-70.9666667
Freeman Knoll,MA,us,42.1980556,-72.5500000
Owen District,MA,us,42.1591667,-72.6905556
King Corner,MA,us,42.5647222,-72.9505556
Houghtonville,MA,us,42.7127778,-73.0750000
South Walpole,MA,us,42.1041667,-71.2616667
Central Village,MA,us,41.5736111,-71.0916667
Needham,MA,us,42.2833333,-71.2333333
Jefferson,MA,us,42.3638889,-71.8813889
Waltham Highlands,MA,us,42.3841667,-71.2472222
Cottage Park,MA,us,42.3708333,-70.9875000
South Row,MA,us,42.6333333,-71.7036111
South Orleans,MA,us,41.7505556,-69.9916667
Glen Grove,MA,us,42.1652778,-71.9944444
South Georgetown,MA,us,42.7097222,-70.9916667
Dorothy Manor,MA,us,42.2166667,-71.7563889
South Peabody,MA,us,42.5097222,-70.9500000
Oyster Harbors,MA,us,41.6208333,-70.4158333
North Grafton,MA,us,42.2333333,-71.7083333
Mountain Park,MA,us,42.2436111,-72.6319444
Chiltonville,MA,us,41.9375000,-70.6291667
Ferry Hill,MA,us,42.1394444,-70.6997222
Wyben,MA,us,42.1722222,-72.7777778
Saugus,MA,us,42.4647222,-71.0105556
