City,Region,Country,Latitude,Longitude
Dawson,MA,us,42.3397222,-71.8513889
Abington,MA,us,42.1047222,-70.9458333
Housatonic,MA,us,42.2541667,-73.3666667
Willow Lane Adult Trailer Park,MA,us,42.6938889,-73.0769444
Cowen Corner,MA,us,41.7688889,-70.8433333
Macomber Corner,MA,us,41.5977778,-70.9805556
Bryant Four Corners,MA,us,42.4686111,-72.9325000
Sheldonville,MA,us,42.0347222,-71.3875000
Rowley Shore,MA,us,42.6761111,-70.6616667
New Braintree,MA,us,42.3166667,-72.1263889
South Walpole,MA,us,42.1041667,-71.2616667
Weir Village,MA,us,41.8833333,-71.0861111
Heald Village,MA,us,42.4250000,-72.0958333
Eastview Park,MA,us,42.4008333,-71.2152778
South Lynnfield,MA,us,42.5166667,-71.0019444
Kingsbury Beach,MA,us,41.8375000,-70.0041667
Aldenville,MA,us,42.1727778,-72.5986111
Grove Hall,MA,us,42.3111111,-71.0750000
Savin Hill,MA,us,42.3125000,-71.0583333
Meriams Corner,MA,us,42.4597222,-71.3250000
Conway,MA,us,42.5097222,-72.7000000
Silver Shell Beach,MA,us,41.6083333,-70.8652778
Townsend Harbor,MA,us,42.6527778,-71.6722222
Concord,MA,us,42.4602778,-71.3494444
Amesbury,MA,us,42.8583333,-70.9305556
Lakewood Park,MA,us,42.5291667,-71.8791667
Rockland,MA,us,42.1305556,-70.9166667
Chappaquoit,MA,us,41.6041667,-70.6500000
North Agawam,MA,us,42.0977778,-72.6361111
Wilkinsonville,MA,us,42.1750000,-71.7208333
Yarmouth,MA,us,41.7055556,-70.2291667
Old Oaken Bucket Homestead,MA,us,42.1777778,-70.7563889
Smalltown,MA,us,41.5958333,-70.5380556
Arlington,MA,us,42.4152778,-71.1569444
Arlington Heights,MA,us,42.4202778,-71.1805556
Nameloc Heights,MA,us,41.8216667,-70.5477778
Shirley Center,MA,us,42.5722222,-71.6513889
Chandler Hill,MA,us,42.2736111,-71.7916667
City Mills,MA,us,42.1083333,-71.3550000
Monomoscoy Island,MA,us,41.5697222,-70.5055556
Westview Park,MA,us,41.6444444,-70.9541667
Burrage Corner,MA,us,42.5208333,-72.2250000
Neale Place,MA,us,42.6566667,-72.1369444
O'Briens Corner,MA,us,42.0875000,-72.6402778
Ashley Heights,MA,us,41.7791667,-70.9208333
Owen District,MA,us,42.1591667,-72.6905556
Ashmont,MA,us,42.2833333,-71.0694444
Haywardville,MA,us,42.4641667,-71.0919444
Webster,MA,us,42.0500000,-71.8805556
East Brimfield,MA,us,42.1111111,-72.1488889
Yarmouth Station,MA,us,41.6980556,-70.2583333
Oakland Square,MA,us,42.0361111,-70.8005556
Stanley,MA,us,42.0033333,-70.9819444
Merrimac Terrace,MA,us,42.4822222,-71.0041667
Attleboro Falls,MA,us,41.9708333,-71.3166667
Camp Chimney Corners,MA,us,42.2811111,-73.0722222
South Sutton,MA,us,42.1000000,-71.7125000
Fishers Landing,MA,us,41.2936111,-70.1797222
Buckland,MA,us,42.5922222,-72.7922222
Avon,MA,us,42.1305556,-71.0416667
Highlandville,MA,us,42.7938889,-71.0822222
Westwood Hills,MA,us,42.2777778,-71.8291667
Shutleff Corner,MA,us,41.9111111,-70.7691667
South Meadow Village,MA,us,41.8938889,-70.7513889
Hastings,MA,us,42.3875000,-71.2897222
Fieldston,MA,us,42.1072222,-70.6644444
Back Bay,MA,us,42.3500000,-71.0875000
Waites Corner,MA,us,42.5638889,-71.8505556
Hanover,MA,us,42.1130556,-70.8125000
Wianno,MA,us,41.6138889,-70.3858333
