City,Region,Country,Latitude,Longitude
Arlington,MA,us,42.4152778,-71.1569444
Beverly,MA,us,42.5583333,-70.8805556
Boston,MA,us,42.3583333,-71.0602778
Braintree,MA,us,42.2222222,-71.0000000
Brockton,MA,us,42.0833333,-71.0188889
Brookline,MA,us,42.3316667,-71.1216667
Cambridge,MA,us,42.3750000,-71.1061111
Chelmsford,MA,us,42.5997222,-71.3677778
Fitchburg,MA,us,42.5833333,-71.8027778
Framingham,MA,us,42.2791667,-71.4166667
Lexington,MA,us,42.4472222,-71.2250000
Marlborough,MA,us,42.3458333,-71.5527778
Medford,MA,us,42.4183333,-71.1066667
Newton,MA,us,42.3369444,-71.2097222
Somerville,MA,us,42.3875000,-71.1000000
Watertown,MA,us,42.3708333,-71.1833333
Wellesley,MA,us,42.2963889,-71.2930556
Woburn,MA,us,42.4791667,-71.1527778
