City,Region,Country,Latitude,Longitude
Aberdeen,MA,us,42.3444444,-71.1500000
Abington,MA,us,42.1047222,-70.9458333
Acapesket,MA,us,41.5500000,-70.5763889
Accord,MA,us,42.1744444,-70.8841667
Acoaxet,MA,us,41.5069444,-71.0972222
Acorn Terrace,MA,us,42.0944444,-71.3722222
Acton,MA,us,42.4850000,-71.4333333
Acushnet,MA,us,41.6805556,-70.9083333
Adams,MA,us,42.6241667,-73.1180556
Adams Junction,MA,us,42.4583333,-73.2083333
Adams Shore,MA,us,42.2638889,-70.9847222
Adamsdale,MA,us,41.9277778,-71.3708333
Adamsville,MA,us,42.6813889,-72.7486111
Admirals Hill,MA,us,42.3900000,-71.0480556
Agawam,MA,us,42.0694444,-72.6152778
Alander,MA,us,42.0561111,-73.4666667
Aldenville,MA,us,42.1727778,-72.5986111
Aldrich Mills,MA,us,42.2819444,-72.5383333
Alford,MA,us,42.2355556,-73.4138889
Algerie Four Corners,MA,us,42.2186111,-73.0311111
Algers Corner,MA,us,42.0105556,-71.0666667
Allerton,MA,us,42.3041667,-70.8838889
Allston,MA,us,42.3583333,-71.1263889
Alms House,MA,us,41.6675000,-70.7633333
Amesbury,MA,us,42.8583333,-70.9305556
Amherst,MA,us,42.3802778,-72.5236111
Amherst Center,MA,us,42.3752778,-72.5197222
Amostown,MA,us,42.1263889,-72.6597222
Amrita,MA,us,41.6597222,-70.6194444
Andover,MA,us,42.6583333,-71.1375000
Annisquam,MA,us,42.6583333,-70.6777778
Antassawamock,MA,us,41.6252778,-70.8077778
Apponagansett,MA,us,41.6013889,-70.9625000
Arlington,MA,us,42.4152778,-71.1569444
Arlington Heights,MA,us,42.4202778,-71.1805556
Arnoldville,MA,us,42.5880556,-73.1341667
Asbury Grove,MA,us,42.6222222,-70.8847222
Ashburnham,MA,us,42.6361111,-71.9083333
Ashby,MA,us,42.6777778,-71.8208333
Ashcroft,MA,us,42.2333333,-71.1500000
Ashdod,MA,us,42.0686111,-70.7513889
Ashfield,MA,us,42.5263889,-72.7888889
Ashland,MA,us,42.2611111,-71.4638889
Ashley Falls,MA,us,42.0561111,-73.3355556
Ashley Heights,MA,us,41.7791667,-70.9208333
Ashleyville,MA,us,42.1583333,-72.6333333
Ashmont,MA,us,42.2833333,-71.0694444
Assinippi,MA,us,42.1583333,-70.8513889
Assonet,MA,us,41.7958333,-71.0683333
Assonet Bay Shores,MA,us,41.7958333,-71.0902778
Athol,MA,us,42.5958333,-72.2272222
Athol Junction,MA,us,42.1277778,-72.5625000
Atlantic,MA,us,42.2805556,-71.0291667
Attleboro,MA,us,41.9444444,-71.2861111
Attleboro Falls,MA,us,41.9708333,-71.3166667
Attleborough City,MA,us,41.9250000,-71.3500000
Auburn,MA,us,42.1944444,-71.8361111
Auburndale,MA,us,42.3472222,-71.2500000
Auburnville,MA,us,42.0694444,-70.9638889
Avon,MA,us,42.1305556,-71.0416667
Axtell Corner,MA,us,42.2319444,-71.6841667
Ayer,MA,us,42.5611111,-71.5902778
Ayers Village,MA,us,42.7869444,-71.1694444
Ayres City,MA,us,42.6250000,-71.3125000
Babbatasset Village,MA,us,42.6666667,-71.5791667
Babson Park,MA,us,42.2986111,-71.2600000
Back Bay,MA,us,42.3500000,-71.0875000
Baconville,MA,us,42.4230556,-72.4422222
Baileys Corner,MA,us,42.0250000,-70.6980556
Baird Four Corners,MA,us,42.1208333,-72.9319444
Baker Bridge,MA,us,42.4277778,-71.3369444
Bakers Grove,MA,us,42.5352778,-71.8833333
Baldwinville,MA,us,42.6083333,-72.0763889
Ballardvale,MA,us,42.6250000,-71.1611111
Bancroft,MA,us,42.3091667,-73.0291667
Baptist Corner,MA,us,42.5519444,-72.7633333
Baptist Corners,MA,us,42.6994444,-72.2700000
Baptist Village,MA,us,42.0472222,-72.4708333
Bardwell,MA,us,42.5566667,-72.6786111
Barkerville,MA,us,42.4225000,-73.3091667
Barlows Landing,MA,us,41.6908333,-70.6255556
Barneyville,MA,us,41.7716667,-71.2861111
Barnstable,MA,us,41.7000000,-70.3000000
Barre,MA,us,42.4227778,-72.1055556
Barre Falls,MA,us,42.4291667,-72.0266667
Barre Plains,MA,us,42.3777778,-72.1097222
Barrowsville,MA,us,41.9458333,-71.2041667
Bass River,MA,us,41.6527778,-70.2041667
Bass Rocks,MA,us,42.6141667,-70.6358333
Bassets Corner,MA,us,42.4813889,-72.1291667
Bay State,MA,us,42.3222222,-72.6638889
Bay View,MA,us,42.6700000,-70.6652778
Bay Village,MA,us,42.3505556,-71.0702778
Bayside,MA,us,42.3000000,-70.8833333
Bayside Beach,MA,us,41.8666667,-70.5322222
Bayview,MA,us,41.5736111,-70.9500000
Beach Bluff,MA,us,42.4791667,-70.8861111
Beach Park,MA,us,41.9402778,-70.6205556
Beach Point,MA,us,42.0547222,-70.1322222
Beachmont,MA,us,42.3958333,-70.9875000
Beachwood,MA,us,42.3250000,-73.3208333
Beacon Hill,MA,us,42.3586111,-71.0683333
Beaconsfield,MA,us,42.3366667,-71.1416667
Beaver,MA,us,42.0477778,-70.9783333
Beaver Brook,MA,us,42.2638889,-71.8291667
Beaver Brook Station,MA,us,42.3791667,-71.2208333
Becket,MA,us,42.3319444,-73.0833333
Becket Center,MA,us,42.2833333,-73.0638889
Bedford,MA,us,42.4905556,-71.2766667
Bedford Springs,MA,us,42.5161111,-71.2713889
Beechwood,MA,us,42.2097222,-70.8194444
Beechwood Estates,MA,us,42.4755556,-73.1116667
Belcher Square,MA,us,42.2000000,-73.3472222
Belchertown,MA,us,42.2769444,-72.4013889
Beldingville,MA,us,42.5375000,-72.7702778
Bellevue,MA,us,42.2875000,-71.1458333
Bellingham,MA,us,42.0866667,-71.4750000
Belmont,MA,us,42.3958333,-71.1791667
Belmont Hill,MA,us,42.2708333,-71.7972222
Belvidere,MA,us,42.6388889,-71.2902778
Bemis,MA,us,42.3686111,-71.2041667
Benjamins Landing,MA,us,42.0836111,-71.4294444
Bennetts Corner,MA,us,42.0186111,-71.0147222
Berkley,MA,us,41.8458333,-71.0833333
Berkley Bridge,MA,us,41.8333333,-71.1066667
Berkshire,MA,us,42.5125000,-73.1933333
Berkshire Heights,MA,us,42.1888889,-73.3694444
Berlin,MA,us,42.3811111,-71.6375000
Bernardston,MA,us,42.6708333,-72.5500000
Berryman Corner,MA,us,41.6500000,-71.0666667
Beulah Corners,MA,us,41.6611111,-71.0847222
Beverly,MA,us,42.5583333,-70.8805556
