City,Region,Country,Latitude,Longitude
Abbot Village,ME,us,45.1863889,-69.4525000
Abbott Run,RI,us,41.9552778,-71.3894444
Abbotts Mill,ME,us,44.4758333,-70.6325000
Aberdeen,MA,us,42.3444444,-71.1500000
Abington,CT,us,41.8605556,-72.0072222
Abington,MA,us,42.1047222,-70.9458333
Acadia,ME,us,46.9861111,-68.0322222
Acapesket,MA,us,41.5500000,-70.5763889
Accord,MA,us,42.1744444,-70.8841667
Achenbach,CT,us,41.5872222,-72.7075000
Acoaxet,MA,us,41.5069444,-71.0972222
Acorn Acres,NH,us,43.0180556,-70.7666667
Acorn Terrace,MA,us,42.0944444,-71.3722222
Acton,ME,us,43.5341667,-70.9102778
Acton,MA,us,42.4850000,-71.4333333
Acushnet,MA,us,41.6805556,-70.9083333
Acworth,NH,us,43.2177778,-72.2925000
Adaline,ME,us,46.7619444,-68.1244444
Adamant,VT,us,44.3291667,-72.5033333
Adams,ME,us,45.3275000,-68.9011111
Adams,MA,us,42.6241667,-73.1180556
Adams Corner,ME,us,43.4125000,-70.4416667
Adams Junction,MA,us,42.4583333,-73.2083333
Adams Landing,VT,us,44.7361111,-73.3325000
Adams Shore,MA,us,42.2638889,-70.9847222
Adams Trailer Park,NH,us,42.9033333,-70.8641667
Adamsdale,MA,us,41.9277778,-71.3708333
Adamsville,MA,us,42.6813889,-72.7486111
Adamsville,RI,us,41.5544444,-71.1316667
Addison,CT,us,41.7183333,-72.5772222
Addison,ME,us,44.6183333,-67.7447222
Addison,VT,us,44.0886111,-73.3030556
Admirals Hill,MA,us,42.3900000,-71.0480556
Admiralty Village,ME,us,43.0925000,-70.7302778
Agamenticus Station,ME,us,43.2438889,-70.7755556
Agamenticus Village,ME,us,43.2152778,-70.6705556
Agawam,MA,us,42.0694444,-72.6152778
Airport Village,ME,us,43.4700000,-70.4841667
Alander,MA,us,42.0561111,-73.4666667
Albany,NH,us,43.9577778,-71.1680556
Albany,VT,us,44.7308333,-72.3802778
Albany Center,VT,us,44.7366667,-72.3500000
Albion,ME,us,44.5322222,-69.4430556
Albion,RI,us,41.9511111,-71.4550000
Alburg,VT,us,44.9750000,-73.3005556
Alburg Center,VT,us,44.9536111,-73.2702778
Alburg Travel Trailer Park,VT,us,44.9622222,-73.2486111
Aldenville,MA,us,42.1727778,-72.5986111
Alderbrook,NH,us,44.3266667,-71.6969444
Aldrich Mills,MA,us,42.2819444,-72.5383333
Alewife,ME,us,43.4527778,-70.6102778
Alexander,ME,us,45.0886111,-67.4688889
Alford,MA,us,42.2355556,-73.4138889
Alfrecha,VT,us,43.5641667,-72.9730556
Alfred,ME,us,43.4763889,-70.7188889
Alfred Mills,ME,us,43.4638889,-70.7025000
Algerie Four Corners,MA,us,42.2186111,-73.0311111
Algers Corner,MA,us,42.0105556,-71.0666667
