City,Region,Country,Latitude,Longitude
214 North Temple Condominium,UT,us,40.7719444,-111.9002778
A and B Trailer Court Number One,MT,us,48.5525000,-109.6805556
A and B Trailer Court Number Two,MT,us,48.5500000,-109.6833333
A and F Trailer Court,AZ,us,33.2958333,-111.8411111
A and F Trailer Park,AZ,us,33.4944444,-112.1102778
A-1 Trailer Park,AZ,us,33.4486111,-112.0083333
A`asufou,AS,us,-14.3202778,-170.7638889
Aaron,GA,us,32.5680556,-81.9925000
Aaron,IN,us,38.8830556,-85.1258333
Aaron,KY,us,36.8125000,-85.1808333
Aaron,MO,us,38.4230556,-94.1536111
Aarons,WV,us,38.4930556,-81.5344444
Abanda,AL,us,33.1008333,-85.5297222
Abbeville,LA,us,29.9744444,-92.1341667
Abbeville,MS,us,34.5030556,-89.5030556
Abbeyville,OH,us,41.1972222,-81.8869444
Abbot Springs,AL,us,33.3608333,-86.4816667
Abbotsford,WI,us,44.9463889,-90.3158333
Abbott,MS,us,33.6800000,-88.7744444
Abbott,WV,us,38.9216667,-80.3216667
Abbotts Mill,DE,us,38.8863889,-75.4769444
Abbottsburg,NC,us,34.5169444,-78.7252778
Abbottsville,OH,us,40.0375000,-84.5783333
Abbs Valley,VA,us,37.2438889,-81.4525000
Abdera,PA,us,41.0305556,-77.5611111
Abe Yarbrough,NM,us,31.6519444,-108.8450000
Abell,MD,us,38.2541667,-76.7438889
Abell City,TX,us,31.2500000,-102.6583333
Abell Corners,NY,us,42.8983333,-75.8286111
Abells Corners,WI,us,42.7261111,-88.5425000
Aben,LA,us,30.1077778,-90.9427778
Abercorn Heights,GA,us,32.0325000,-81.1069444
Abercrombie,ND,us,46.4477778,-96.7300000
Aberdeen,AR,us,34.6033333,-91.3416667
Aberdeen,KY,us,37.2538889,-86.6816667
Aberdeen,SD,us,45.4647222,-98.4861111
Aberdeen,TX,us,35.0377778,-100.1488889
Aberdeen,WA,us,46.9755556,-123.8144444
Aberdeen Gardens,WA,us,47.0627778,-123.7783333
Aberfoyle,TX,us,33.3050000,-96.0250000
Abernathy,TX,us,33.8322222,-101.8425000
Abertown,NJ,us,41.2508333,-74.7850000
Abeyta,CO,us,37.0797222,-104.1858333
Abingdon,MD,us,39.4622222,-76.2794444
Abingdon,NC,us,35.9111111,-81.5961111
Abington,IN,us,39.7330556,-84.9630556
Abington Shores,MD,us,38.5852778,-76.6680556
Ablett Village,NJ,us,39.9486111,-75.1027778
Abner,TX,us,32.6277778,-96.1913889
Abrahamsville,PA,us,41.7641667,-75.1238889
Absecon,NJ,us,39.4283333,-74.4961111
Absher,KY,us,37.1686111,-85.2591667
Abshier Settlement,TX,us,29.9152778,-94.6236111
Abstein Place,ID,us,44.9708333,-115.4858333
Abydel,IN,us,38.5705556,-86.5611111
Academia,PA,us,40.4963889,-77.4761111
Academie,IN,us,41.1708333,-85.1458333
Academy,PA,us,39.9055556,-75.2625000
Academy Acres,GA,us,30.8955556,-83.2491667
Academy Estates,SC,us,32.4327778,-80.6352778
Academy Garden,PA,us,40.0616667,-74.9966667
Academy Hills,MD,us,39.6566667,-75.8555556
Academy Lane,MD,us,39.4355556,-76.7866667
